match_id,date,league,season,home_team,away_team,status,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,data_source,home_close_odds,draw_close_odds,away_close_odds,hkjc_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,asian_handicap,hkjc_hdc_updated_at,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds,home_team_raw,away_team_raw
50064880,2026-03-20T07:00:00.000+08:00,CONCACAF Champions Cup,2026,Mount Pleasant,LA Galaxy,PREEVENT,FB5840,CNC,中北美洲冠軍盃,芒特普林森,洛杉磯銀河,BETRADAR,hkjc,6.0,4.85,1.31,2026-03-17T19:30:01.278+08:00,6.0,4.85,1.31,1.87,1.85,+1.0/+1.5,1.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,22.0,7.0,4.2,3.7,4.2,5.9,10.0,11.0,,
50061000,2026-03-20T07:00:00.000+08:00,Brazilian Division 1,2026,Flamengo,Clube do Remo,PREEVENT,FB5747,BD1,巴西甲組聯賽,法林明高,雷莫,BETRADAR,hkjc,1.08,7.0,17.0,2026-03-16T19:30:02.789+08:00,1.08,7.0,17.0,1.97,1.83,-2.0/-2.5,-2.25,2026-03-16T19:30:02.789+08:00,2026-03-16T19:30:02.789+08:00,20.0,6.7,4.2,3.7,4.2,6.0,10.0,12.0,,
50061011,2026-03-20T08:30:00.000+08:00,Brazilian Division 1,2026,Chapecoense,Corinthians,PREEVENT,FB5817,BD1,巴西甲組聯賽,查比高恩斯,哥連泰斯,BETRADAR,hkjc,3.2,3.05,2.03,2026-03-17T19:30:01.278+08:00,3.2,3.05,2.03,1.93,1.87,0.0/+0.5,0.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,7.25,3.9,3.15,3.9,5.9,11.0,26.0,35.0,,
50064881,2026-03-20T09:00:00.000+08:00,CONCACAF Champions Cup,2026,Tigres UANL,FC Cincinnati,PREEVENT,FB5841,CNC,中北美洲冠軍盃,堤格雷斯,FC辛辛那提,BETRADAR,hkjc,1.26,4.7,7.75,2026-03-17T19:30:01.278+08:00,1.26,4.7,7.75,1.8,1.97,-1.0/-1.5,-1.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,12.5,5.1,3.65,3.6,4.75,7.0,14.5,22.0,,
50064416,2026-03-20T13:00:00.000+08:00,J2 J3 100Y Vision League,2026,Albirex Niigata,Kataller Toyama,PREEVENT,FB5858,JV2,日乙日丙百年構想聯賽,新潟天鵝,富山勝利,,hkjc,1.9,3.3,3.3,2026-03-19T12:01:07.534+08:00,1.9,3.3,3.3,1.75,2.03,0.0/-0.5,-0.25,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,8.75,3.95,3.3,3.8,5.6,9.75,21.0,30.0,,
50064417,2026-03-20T13:00:00.000+08:00,J2 J3 100Y Vision League,2026,Thespakusatsu Gunma,Shonan Bellmare,PREEVENT,FB5859,JV2,日乙日丙百年構想聯賽,群馬草津溫泉,湘南比馬,,hkjc,4.05,3.55,1.65,2026-03-19T12:01:07.534+08:00,4.05,3.55,1.65,1.79,1.98,+0.5/+1.0,0.75,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,10.0,4.35,3.4,3.6,5.2,8.75,18.0,30.0,,
50065178,2026-03-20T16:00:00.000+08:00,Women Australian Division 1,2026,Sydney FC Women,Wellington Phoenix Women,PREEVENT,FB5898,AD1W,女子澳洲職業聯賽,FC悉尼女足,威靈頓鳳凰女足,,hkjc,5.1,4.25,1.4,2026-03-19T12:01:07.534+08:00,5.1,4.25,1.4,1.9,1.8,+1.0,1.0,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,16.0,5.9,3.85,3.65,4.25,6.2,10.5,14.0,,
50065179,2026-03-20T16:30:00.000+08:00,Australian NPL - New South Wales,2026,Sydney FC B,UNSW FC,PREEVENT,FB5899,ANS,澳洲全國聯賽 - 新南威爾斯,FC悉尼B隊,新南威爾斯大學FC,,hkjc,1.73,3.7,3.5,2026-03-19T12:01:07.534+08:00,1.73,3.7,3.5,2.04,1.7,-0.5/-1.0,-0.75,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,14.5,5.4,3.7,3.65,4.55,6.9,13.0,17.0,,
50064926,2026-03-20T16:30:00.000+08:00,Australian NPL - Victoria,2026,Bentleigh Greens,Green Gully,PREEVENT,FB5890,AVC,澳洲全國聯賽 - 維多利亞,賓特利綠軍,格連古利,,hkjc,2.14,3.3,2.76,2026-03-19T12:01:07.534+08:00,2.14,3.3,2.76,,,,,,2026-03-19T12:01:07.534+08:00,9.5,4.0,3.35,3.75,5.3,9.5,20.0,30.0,,
50064431,2026-03-20T16:35:00.000+08:00,Australian Division 1,2026,Western Sydney Wanderers,Adelaide Utd,PREEVENT,FB5860,AD1,澳洲職業聯賽,西悉尼流浪者,阿德萊德聯,BETRADAR,hkjc,1.72,3.85,3.4,2026-03-19T12:01:07.534+08:00,1.72,3.85,3.4,2.05,1.74,-0.5/-1.0,-0.75,2026-03-19T12:01:07.534+08:00,2026-03-19T12:01:07.534+08:00,19.0,6.7,4.1,3.75,4.2,6.0,10.5,11.5,,
